sample	sex	age	age_group	social_rank	cd3tcells	bcells	nkcells	cd8tregulatory	cd4tcells	cd8tcells	cd4tregulatory	nonclass_monocytes	inter_monocytes	class_monocytes	batch
0A9	FEMALE	14.67	4	LOW	28.8	34.4	36.8	0.68	17.4	8.43	3.84	26.7	50.4	22.9	1
0C7	MALE	13.83	3	MEDIUM	69.7	17.3	13.1	2.25	33.9	30.5	9.88	10.8	14.9	74.3	1
0J4	MALE	9.92	3	MEDIUM	59.1	28.2	12.7	1.44	26	18.8	5.84	7.49	6.03	86.5	1
0L1	MALE	8.92	3		47.1	48.5	4.41	0.72	36.5	7.19	5.13	17	2.64	80.3	1
0P0	MALE	6.92	2		21.7	45.8	32.6	0.4	11.8	8.45	2.9	17.4	60.2	22.3	1
0R8	MALE	6.08	2		40.8	32.4	26.7	1.47	23	14.6	3.65	27.7	52.9	19.4	1
0S5 INF	MALE	0.5	1		71	21.8	7.29	0.71	42.8	20.4	3.44	5.63	3.76	90.6	1
0S5	FEMALE	6.08	2		69.7	18.4	12	1.12	22.7	39.9	2.69	30.9	17.2	51.9	1
1A3	FEMALE	14.75	4	LOW	47.7	30.9	21.4	2.16	27.8	16.2	4.57	37.4	47.2	15.4	1
1B0	FEMALE	14.75	4	LOW	51.9	33.9	14.2	2.14	27.4	20	4.27	13.9	7.11	79	1
1G0	FEMALE	10.83	3	LOW	53.4	41.1	5.43	1.09	30.7	19.8	5.76	14.6	6.3	79.1	1
1H6	FEMALE	10.67	3	LOW	74.5	23.4	2.13	2.46	43.5	23.2	5.74	4.19	12.3	83.5	1
1I6	FEMALE	9.75	3	LOW	52.3	33.5	14.2	1.07	20.4	27.7	3.2	59.5	9.64	30.9	1
1J0	MALE	9.75	3		53	37.1	9.91	1.01	30	18.4	4.08	8.72	20.6	70.7	1
1L5	FEMALE	8.83	3	LOW	61.6	37.2	1.23	1.3	32.6	22.7	2.53	6.17	11.5	82.3	1
1S4	MALE	5.92	2		48.5	32.2	19.3	1.58	30.1	13.6	4.47	22.1	11.8	66.1	1
2A2 INF	FEMALE	0.25	1		65.5	33.5	0.92	0.42	48.6	13.3	4.59	2.26	1.13	96.6	1
2A2 	FEMALE	14.75	4	LOW	74.3	11.9	13.9	1.88	47.4	22	6.05	20.1	19.9	60	1
2C9	MALE	13.83	3		51.1	19.7	29.2	1.5	23.2	15.7	4.73	31.3	66.1	2.61	1
2.00E+04	FEMALE	12.83	3	HIGH	63.6	33.8	2.59	1.24	40.1	16.8	5.59	4.57	3.05	92.4	1
2I2	MALE	9.83	3		64.1	28	7.93	1.3	30.5	27.6	4.71	19.5	18.9	61.5	1
2N6 INF	MALE	0.5	1		74.8	21.8	3.38	0.58	56.4	13.8	3.8	3.11	11.7	85.2	1
2N6 	FEMALE	7.92	2		47.9	47	5.1	0.96	28.3	15.4	4.08	6.79	11.8	81.4	1
2N8	MALE	7.92	2	LOW	52.6	39.1	8.35	1.41	31.4	16.9	5.11	4.97	4.05	91	1
2N9	MALE	8	3		54.9	30.4	14.7	1.19	24.2	17.1	5.03	25.7	12.1	62.2	1
2R1	MALE	5.92	2		57.8	31.9	10.3	2.68	26.9	22.3	6.74	12.6	5.06	82.3	1
3L2	MALE	8.92	3		75.6	18.5	5.96	1.22	34.1	36.7	5.29	14.1	11	74.9	1
3M2	MALE	8	3	LOW	69.2	21.6	9.18	2.71	34.6	26.1	3.38	20.7	22.3	57	1
3P3	MALE	6.92	2	LOW	43.4	31.9	24.7	1.6	22.6	15.1	3.69	22.6	15	62.5	1
3S3	FEMALE	5.83	2		62.6	29.2	8.29	1.98	41	15.7	11.8	27.1	9.39	63.5	1
4G8	MALE	10.83	3	LOW	59.6	28	12.4	2.32	36.6	19.6	7.11	10.3	4.43	85.2	1
4K7	MALE	8.83	3	LOW	47.1	37.6	15.3	2.49	31.9	11.3	7.96	25.9	6.35	67.8	1
4M3	MALE	8	3		44.2	34.6	22.3	2.46	29.3	9.54	4.41	1.35	1.73	96.9	1
4M1	MALE	7.92	2		61.9	36.7	1.42	1.41	29.7	26.4	4.9	3.99	1.78	94.2	1
